model,metric,mean,std,min,max
Random Forest,precision,0.9502302616138458,0.021900433071861722,0.8939393939393939,0.9855072463768116
Random Forest,recall,0.7449122807017545,0.06051697286902253,0.6210526315789474,0.8526315789473684
Random Forest,f1_score,0.8340870475869623,0.043352622330377885,0.7329192546583851,0.9050279329608939
Random Forest,roc_auc,0.9580672862770986,0.015217377963077486,0.933022808565987,0.9774504839882977
Random Forest,pr_auc,0.8389878964857622,0.04430722217581794,0.7564965270354502,0.9074515701160879
XGBoost,precision,0.8676192724039817,0.030032343196846428,0.8350515463917526,0.925
XGBoost,recall,0.8294363568495705,0.0455011951630051,0.7578947368421053,0.9263157894736842
XGBoost,f1_score,0.8469795473493129,0.022274760529635555,0.8152173913043478,0.8888888888888888
XGBoost,roc_auc,0.9800591281690739,0.011044513379153105,0.9567467401187637,0.9942372922297092
XGBoost,pr_auc,0.8492303270403916,0.044323263209133164,0.7643272647053763,0.9197218924393681
Isolation Forest,precision,0.09156386896515374,0.009955489018766585,0.07062600321027288,0.10434782608695652
Isolation Forest,recall,0.5729525942515863,0.058125310236031694,0.4631578947368421,0.6631578947368421
Isolation Forest,f1_score,0.15785365724640749,0.016819512604710263,0.12256267409470752,0.1791044776119403
Isolation Forest,roc_auc,0.9484737909045351,0.018326712608972593,0.912946082339911,0.9754595310715934
Isolation Forest,pr_auc,0.11632148619478079,0.029270395439529223,0.06088302881540861,0.16673560370082158
Autoencoder,precision,0.16017022143789914,0.032255032556556616,0.09969788519637462,0.2074074074074074
Autoencoder,recall,0.7468607689436356,0.06892585720782492,0.5851063829787234,0.8842105263157894
Autoencoder,f1_score,0.2629081960770094,0.04725415951649401,0.1746031746031746,0.336
Autoencoder,roc_auc,0.936545467424363,0.020096345273219046,0.8921466523097562,0.9697301063780369
Autoencoder,pr_auc,0.46847916728448574,0.12307112212249537,0.28799733327131016,0.6653462525930017
